"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",99.991270,26.390604,1,26.390604,26.390604,26.390604,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.008730,0.002304,1,0.002304,0.002304,0.002304,"[CUDA memcpy DtoH]"
"API calls",75.070584,95.634127,1,95.634127,95.634127,95.634127,"cudaMalloc"
"API calls",20.726975,26.404565,1,26.404565,26.404565,26.404565,"cudaMemcpy"
"API calls",3.999380,5.094901,1,5.094901,5.094901,5.094901,"cudaLaunchKernel"
"API calls",0.096143,0.122479,114,0.001074,0.000081,0.051170,"cuDeviceGetAttribute"
"API calls",0.091397,0.116433,1,0.116433,0.116433,0.116433,"cudaFree"
"API calls",0.008135,0.010363,1,0.010363,0.010363,0.010363,"cuDeviceGetName"
"API calls",0.005113,0.006513,1,0.006513,0.006513,0.006513,"cuDeviceGetPCIBusId"
"API calls",0.001056,0.001345,3,0.000448,0.000102,0.001081,"cuDeviceGetCount"
"API calls",0.000361,0.000460,1,0.000460,0.000460,0.000460,"cuDeviceTotalMem"
"API calls",0.000279,0.000355,2,0.000177,0.000081,0.000274,"cuDeviceGet"
"API calls",0.000277,0.000353,1,0.000353,0.000353,0.000353,"cuModuleGetLoadingMode"
"API calls",0.000173,0.000221,1,0.000221,0.000221,0.000221,"cudaGetDeviceCount"
"API calls",0.000128,0.000163,1,0.000163,0.000163,0.000163,"cuDeviceGetUuid"
