"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",99.434884,388.508000,1,388.508000,388.508000,388.508000,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.565116,2.208000,1,2.208000,2.208000,2.208000,"[CUDA memcpy DtoH]"
"API calls",93.540864,95607.888000,1,95607.888000,95607.888000,95607.888000,"cudaMalloc"
"API calls",6.023654,6156.762000,1,6156.762000,6156.762000,6156.762000,"cudaLaunchKernel"
"API calls",0.172208,176.013000,1,176.013000,176.013000,176.013000,"cudaMemcpy"
"API calls",0.136848,139.872000,114,1.226000,0.083000,58.010000,"cuDeviceGetAttribute"
"API calls",0.107587,109.964000,1,109.964000,109.964000,109.964000,"cudaFree"
"API calls",0.010386,10.615000,1,10.615000,10.615000,10.615000,"cuDeviceGetName"
"API calls",0.006048,6.182000,1,6.182000,6.182000,6.182000,"cuDeviceGetPCIBusId"
"API calls",0.000713,0.729000,3,0.243000,0.107000,0.455000,"cuDeviceGetCount"
"API calls",0.000499,0.510000,1,0.510000,0.510000,0.510000,"cudaGetDeviceCount"
"API calls",0.000385,0.394000,2,0.197000,0.108000,0.286000,"cuDeviceGet"
"API calls",0.000340,0.348000,1,0.348000,0.348000,0.348000,"cuDeviceTotalMem"
"API calls",0.000311,0.318000,1,0.318000,0.318000,0.318000,"cuModuleGetLoadingMode"
"API calls",0.000157,0.160000,1,0.160000,0.160000,0.160000,"cuDeviceGetUuid"
