"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",99.999109,244.338856,1,244.338856,244.338856,244.338856,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.000891,0.002176,1,0.002176,0.002176,0.002176,"[CUDA memcpy DtoH]"
"API calls",69.231324,244.353373,1,244.353373,244.353373,244.353373,"cudaMemcpy"
"API calls",29.251201,103.242712,1,103.242712,103.242712,103.242712,"cudaMalloc"
"API calls",1.436760,5.071073,1,5.071073,5.071073,5.071073,"cudaLaunchKernel"
"API calls",0.037448,0.132175,114,0.001159,0.000081,0.052874,"cuDeviceGetAttribute"
"API calls",0.036672,0.129436,1,0.129436,0.129436,0.129436,"cudaFree"
"API calls",0.003262,0.011513,1,0.011513,0.011513,0.011513,"cuDeviceGetName"
"API calls",0.002621,0.009251,1,0.009251,0.009251,0.009251,"cuDeviceGetPCIBusId"
"API calls",0.000205,0.000722,3,0.000240,0.000117,0.000441,"cuDeviceGetCount"
"API calls",0.000140,0.000494,1,0.000494,0.000494,0.000494,"cudaGetDeviceCount"
"API calls",0.000127,0.000450,1,0.000450,0.000450,0.000450,"cuDeviceTotalMem"
"API calls",0.000115,0.000405,2,0.000202,0.000096,0.000309,"cuDeviceGet"
"API calls",0.000077,0.000272,1,0.000272,0.000272,0.000272,"cuModuleGetLoadingMode"
"API calls",0.000047,0.000166,1,0.000166,0.000166,0.000166,"cuDeviceGetUuid"
