"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",99.653694,626.170000,1,626.170000,626.170000,626.170000,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.346306,2.176000,1,2.176000,2.176000,2.176000,"[CUDA memcpy DtoH]"
"API calls",93.238257,95874.291000,1,95874.291000,95874.291000,95874.291000,"cudaMalloc"
"API calls",6.067461,6239.000000,1,6239.000000,6239.000000,6239.000000,"cudaLaunchKernel"
"API calls",0.440952,453.419000,1,453.419000,453.419000,453.419000,"cudaMemcpy"
"API calls",0.125572,129.122000,114,1.132000,0.095000,52.399000,"cuDeviceGetAttribute"
"API calls",0.107496,110.535000,1,110.535000,110.535000,110.535000,"cudaFree"
"API calls",0.010947,11.256000,1,11.256000,11.256000,11.256000,"cuDeviceGetName"
"API calls",0.006168,6.342000,1,6.342000,6.342000,6.342000,"cuDeviceGetPCIBusId"
"API calls",0.001096,1.127000,3,0.375000,0.135000,0.804000,"cuDeviceGetCount"
"API calls",0.000643,0.661000,1,0.661000,0.661000,0.661000,"cuDeviceTotalMem"
"API calls",0.000567,0.583000,2,0.291000,0.116000,0.467000,"cuDeviceGet"
"API calls",0.000380,0.391000,1,0.391000,0.391000,0.391000,"cudaGetDeviceCount"
"API calls",0.000299,0.307000,1,0.307000,0.307000,0.307000,"cuModuleGetLoadingMode"
"API calls",0.000163,0.168000,1,0.168000,0.168000,0.168000,"cuDeviceGetUuid"
