"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",99.915157,2.939394,1,2.939394,2.939394,2.939394,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.084843,0.002496,1,0.002496,0.002496,0.002496,"[CUDA memcpy DtoH]"
"API calls",91.060060,94.663928,1,94.663928,94.663928,94.663928,"cudaMalloc"
"API calls",6.064637,6.304656,1,6.304656,6.304656,6.304656,"cudaLaunchKernel"
"API calls",2.625892,2.729816,1,2.729816,2.729816,2.729816,"cudaMemcpy"
"API calls",0.125192,0.130147,114,0.001141,0.000084,0.051435,"cuDeviceGetAttribute"
"API calls",0.106387,0.110597,1,0.110597,0.110597,0.110597,"cudaFree"
"API calls",0.009767,0.010154,1,0.010154,0.010154,0.010154,"cuDeviceGetName"
"API calls",0.005513,0.005731,1,0.005731,0.005731,0.005731,"cuDeviceGetPCIBusId"
"API calls",0.000749,0.000779,3,0.000259,0.000093,0.000481,"cuDeviceGetCount"
"API calls",0.000585,0.000608,1,0.000608,0.000608,0.000608,"cudaGetDeviceCount"
"API calls",0.000411,0.000427,1,0.000427,0.000427,0.000427,"cuDeviceTotalMem"
"API calls",0.000364,0.000378,2,0.000189,0.000080,0.000298,"cuDeviceGet"
"API calls",0.000240,0.000249,1,0.000249,0.000249,0.000249,"cuModuleGetLoadingMode"
"API calls",0.000205,0.000213,1,0.000213,0.000213,0.000213,"cuDeviceGetUuid"
