"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",43.571097,2.816000,2,1.408000,1.344000,1.472000,"[CUDA memcpy HtoD]"
"GPU activities",29.196967,1.887000,1,1.887000,1.887000,1.887000,"saxpy_gpu(float*, float*, float, int)"
"GPU activities",27.231936,1.760000,1,1.760000,1.760000,1.760000,"[CUDA memcpy DtoH]"
"API calls",90.521194,256185.160000,2,128092.580000,4.119000,256181.041000,"cudaMalloc"
"API calls",4.731182,13389.776000,1,13389.776000,13389.776000,13389.776000,"cudaLaunchKernel"
"API calls",4.615192,13061.512000,3,4353.837000,23.818000,6634.493000,"cudaMemcpy"
"API calls",0.051320,145.240000,114,1.274000,0.083000,55.421000,"cuDeviceGetAttribute"
"API calls",0.040912,115.786000,2,57.893000,6.814000,108.972000,"cudaFree"
"API calls",0.032396,91.683000,1,91.683000,91.683000,91.683000,"cudaGetDeviceProperties"
"API calls",0.004813,13.620000,1,13.620000,13.620000,13.620000,"cuDeviceGetName"
"API calls",0.001808,5.118000,1,5.118000,5.118000,5.118000,"cuDeviceGetPCIBusId"
"API calls",0.000427,1.209000,3,0.403000,0.145000,0.872000,"cuDeviceGetCount"
"API calls",0.000239,0.675000,1,0.675000,0.675000,0.675000,"cudaGetDeviceCount"
"API calls",0.000212,0.599000,2,0.299000,0.090000,0.509000,"cuDeviceGet"
"API calls",0.000134,0.379000,1,0.379000,0.379000,0.379000,"cuModuleGetLoadingMode"
"API calls",0.000117,0.330000,1,0.330000,0.330000,0.330000,"cuDeviceTotalMem"
"API calls",0.000056,0.159000,1,0.159000,0.159000,0.159000,"cuDeviceGetUuid"
