"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",40.094340,2.720000,2,1.360000,1.216000,1.504000,"[CUDA memcpy HtoD]"
"GPU activities",32.547170,2.208000,1,2.208000,2.208000,2.208000,"saxpy_gpu(float*, float*, float, int)"
"GPU activities",27.358491,1.856000,1,1.856000,1.856000,1.856000,"[CUDA memcpy DtoH]"
"API calls",90.543111,256289.246000,2,128144.623000,3.434000,256285.812000,"cudaMalloc"
"API calls",4.730861,13391.067000,1,13391.067000,13391.067000,13391.067000,"cudaLaunchKernel"
"API calls",4.595865,13008.950000,3,4336.316000,24.255000,6628.401000,"cudaMemcpy"
"API calls",0.048301,136.721000,114,1.199000,0.088000,54.984000,"cuDeviceGetAttribute"
"API calls",0.041309,116.929000,2,58.464000,6.617000,110.312000,"cudaFree"
"API calls",0.032087,90.824000,1,90.824000,90.824000,90.824000,"cudaGetDeviceProperties"
"API calls",0.005191,14.693000,1,14.693000,14.693000,14.693000,"cuDeviceGetName"
"API calls",0.001930,5.464000,1,5.464000,5.464000,5.464000,"cuDeviceGetPCIBusId"
"API calls",0.000591,1.673000,3,0.557000,0.173000,1.187000,"cuDeviceGetCount"
"API calls",0.000272,0.769000,1,0.769000,0.769000,0.769000,"cudaGetDeviceCount"
"API calls",0.000142,0.401000,1,0.401000,0.401000,0.401000,"cuDeviceTotalMem"
"API calls",0.000135,0.381000,1,0.381000,0.381000,0.381000,"cuModuleGetLoadingMode"
"API calls",0.000120,0.341000,2,0.170000,0.095000,0.246000,"cuDeviceGet"
"API calls",0.000084,0.239000,1,0.239000,0.239000,0.239000,"cuDeviceGetUuid"
