"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",69.247587,1.386005,2,693.002000,630.331000,755.674000,"[CUDA memcpy HtoD]"
"GPU activities",29.844303,0.597340,1,597.340000,597.340000,597.340000,"[CUDA memcpy DtoH]"
"GPU activities",0.908109,0.018176,1,18.176000,18.176000,18.176000,"saxpy_gpu(float*, float*, float, int)"
"API calls",90.165493,254.479025,2,127239.512000,75.905000,254403.120000,"cudaMalloc"
"API calls",5.459743,15.409333,3,5136.444000,975.209000,7568.522000,"cudaMemcpy"
"API calls",4.205406,11.869147,1,11869.147000,11869.147000,11869.147000,"cudaLaunchKernel"
"API calls",0.074404,0.209995,2,104.997000,71.127000,138.868000,"cudaFree"
"API calls",0.049760,0.140440,114,1.231000,0.096000,61.094000,"cuDeviceGetAttribute"
"API calls",0.036983,0.104379,1,104.379000,104.379000,104.379000,"cudaGetDeviceProperties"
"API calls",0.004812,0.013580,1,13.580000,13.580000,13.580000,"cuDeviceGetName"
"API calls",0.002061,0.005817,1,5.817000,5.817000,5.817000,"cuDeviceGetPCIBusId"
"API calls",0.000602,0.001699,3,0.566000,0.168000,1.353000,"cuDeviceGetCount"
"API calls",0.000225,0.000634,1,0.634000,0.634000,0.634000,"cudaGetDeviceCount"
"API calls",0.000208,0.000588,2,0.294000,0.128000,0.460000,"cuDeviceGet"
"API calls",0.000128,0.000360,1,0.360000,0.360000,0.360000,"cuModuleGetLoadingMode"
"API calls",0.000122,0.000343,1,0.343000,0.343000,0.343000,"cuDeviceTotalMem"
"API calls",0.000055,0.000154,1,0.154000,0.154000,0.154000,"cuDeviceGetUuid"
