"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",99.451488,388.732000,1,388.732000,388.732000,388.732000,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.548512,2.144000,1,2.144000,2.144000,2.144000,"[CUDA memcpy DtoH]"
"API calls",94.285401,95415.555000,1,95415.555000,95415.555000,95415.555000,"cudaMalloc"
"API calls",5.079597,5140.484000,1,5140.484000,5140.484000,5140.484000,"cudaLaunchKernel"
"API calls",0.389289,393.955000,1,393.955000,393.955000,393.955000,"cudaMemcpy"
"API calls",0.120626,122.072000,114,1.070000,0.085000,50.900000,"cuDeviceGetAttribute"
"API calls",0.106168,107.441000,1,107.441000,107.441000,107.441000,"cudaFree"
"API calls",0.010156,10.278000,1,10.278000,10.278000,10.278000,"cuDeviceGetName"
"API calls",0.006102,6.175000,1,6.175000,6.175000,6.175000,"cuDeviceGetPCIBusId"
"API calls",0.000897,0.908000,3,0.302000,0.088000,0.657000,"cuDeviceGetCount"
"API calls",0.000444,0.449000,1,0.449000,0.449000,0.449000,"cuDeviceGetUuid"
"API calls",0.000436,0.441000,1,0.441000,0.441000,0.441000,"cuDeviceTotalMem"
"API calls",0.000368,0.372000,2,0.186000,0.085000,0.287000,"cuDeviceGet"
"API calls",0.000297,0.301000,1,0.301000,0.301000,0.301000,"cuModuleGetLoadingMode"
"API calls",0.000218,0.221000,1,0.221000,0.221000,0.221000,"cudaGetDeviceCount"
