"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",42.718447,2.816000,2,1.408000,1.344000,1.472000,"[CUDA memcpy HtoD]"
"GPU activities",31.067961,2.048000,1,2.048000,2.048000,2.048000,"saxpy_gpu(float*, float*, float, int)"
"GPU activities",26.213592,1.728000,1,1.728000,1.728000,1.728000,"[CUDA memcpy DtoH]"
"API calls",90.853158,257456.719000,2,128728.359000,4.506000,257452.213000,"cudaMalloc"
"API calls",4.724114,13387.040000,1,13387.040000,13387.040000,13387.040000,"cudaLaunchKernel"
"API calls",4.286648,12147.363000,3,4049.121000,22.114000,6632.205000,"cudaMemcpy"
"API calls",0.047325,134.108000,2,67.054000,7.362000,126.746000,"cudaFree"
"API calls",0.047311,134.069000,114,1.176000,0.082000,55.776000,"cuDeviceGetAttribute"
"API calls",0.032483,92.048000,1,92.048000,92.048000,92.048000,"cudaGetDeviceProperties"
"API calls",0.005322,15.082000,1,15.082000,15.082000,15.082000,"cuDeviceGetName"
"API calls",0.002041,5.783000,1,5.783000,5.783000,5.783000,"cuDeviceGetPCIBusId"
"API calls",0.000824,2.335000,3,0.778000,0.193000,1.793000,"cuDeviceGetCount"
"API calls",0.000205,0.582000,1,0.582000,0.582000,0.582000,"cudaGetDeviceCount"
"API calls",0.000173,0.490000,1,0.490000,0.490000,0.490000,"cuDeviceTotalMem"
"API calls",0.000172,0.487000,1,0.487000,0.487000,0.487000,"cuModuleGetLoadingMode"
"API calls",0.000132,0.375000,2,0.187000,0.097000,0.278000,"cuDeviceGet"
"API calls",0.000092,0.262000,1,0.262000,0.262000,0.262000,"cuDeviceGetUuid"
