"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",66.339869,25.984000,2,12.992000,12.800000,13.184000,"[CUDA memcpy HtoD]"
"GPU activities",28.022876,10.976000,1,10.976000,10.976000,10.976000,"[CUDA memcpy DtoH]"
"GPU activities",5.637255,2.208000,1,2.208000,2.208000,2.208000,"saxpy_gpu(float*, float*, float, int)"
"API calls",90.506512,255708.117000,2,127854.058000,2.897000,255705.220000,"cudaMalloc"
"API calls",4.722488,13342.450000,1,13342.450000,13342.450000,13342.450000,"cudaLaunchKernel"
"API calls",4.635663,13097.143000,3,4365.714000,54.446000,6663.535000,"cudaMemcpy"
"API calls",0.047889,135.302000,114,1.186000,0.079000,53.813000,"cuDeviceGetAttribute"
"API calls",0.047225,133.424000,2,66.712000,6.214000,127.210000,"cudaFree"
"API calls",0.032582,92.055000,1,92.055000,92.055000,92.055000,"cudaGetDeviceProperties"
"API calls",0.004715,13.321000,1,13.321000,13.321000,13.321000,"cuDeviceGetName"
"API calls",0.002008,5.672000,1,5.672000,5.672000,5.672000,"cuDeviceGetPCIBusId"
"API calls",0.000349,0.987000,3,0.329000,0.120000,0.541000,"cuDeviceGetCount"
"API calls",0.000149,0.421000,2,0.210000,0.098000,0.323000,"cuDeviceGet"
"API calls",0.000136,0.385000,1,0.385000,0.385000,0.385000,"cuModuleGetLoadingMode"
"API calls",0.000103,0.291000,1,0.291000,0.291000,0.291000,"cuDeviceGetUuid"
"API calls",0.000094,0.265000,1,0.265000,0.265000,0.265000,"cudaGetDeviceCount"
"API calls",0.000086,0.243000,1,0.243000,0.243000,0.243000,"cuDeviceTotalMem"
