"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,us,,us,us,us,
"GPU activities",99.455266,391.260000,1,391.260000,391.260000,391.260000,"generatePoints(unsigned long*, unsigned long, unsigned long)"
"GPU activities",0.544734,2.143000,1,2.143000,2.143000,2.143000,"[CUDA memcpy DtoH]"
"API calls",93.541833,97957.525000,1,97957.525000,97957.525000,97957.525000,"cudaMalloc"
"API calls",5.813338,6087.760000,1,6087.760000,6087.760000,6087.760000,"cudaLaunchKernel"
"API calls",0.379918,397.852000,1,397.852000,397.852000,397.852000,"cudaMemcpy"
"API calls",0.141050,147.708000,114,1.295000,0.097000,64.521000,"cuDeviceGetAttribute"
"API calls",0.103760,108.658000,1,108.658000,108.658000,108.658000,"cudaFree"
"API calls",0.011671,12.222000,1,12.222000,12.222000,12.222000,"cuDeviceGetName"
"API calls",0.006175,6.466000,1,6.466000,6.466000,6.466000,"cuDeviceGetPCIBusId"
"API calls",0.000905,0.948000,3,0.316000,0.149000,0.620000,"cuDeviceGetCount"
"API calls",0.000379,0.397000,2,0.198000,0.090000,0.307000,"cuDeviceGet"
"API calls",0.000303,0.317000,1,0.317000,0.317000,0.317000,"cuModuleGetLoadingMode"
"API calls",0.000249,0.261000,1,0.261000,0.261000,0.261000,"cudaGetDeviceCount"
"API calls",0.000245,0.257000,1,0.257000,0.257000,0.257000,"cuDeviceTotalMem"
"API calls",0.000174,0.182000,1,0.182000,0.182000,0.182000,"cuDeviceGetUuid"
